Review,POSITIVE 
Will probably miss out on this now!,NEGATIVE
Attendant in station confirmed that this happens very frequently. ,NEGATIVE
Will delete as soon as offer finished unless the Â£10 cash back is honoured. ,NEGATIVE
"Amex should be ashamed that theyâ€™ve associated themselves which such a terrible product.""",NEGATIVE
I have tried to access the app. Put in all my details. Not able to complete the application.,NEGATIVE
"Same problem as many others.  Lured in by the Amex Â£10 offer.  Went back twice, each time a technical error.  Wasted a lot of time.  Fortunately I did not put on any fuel.  This is not ethical use of a promotion as many people have been lured in to an offer that canâ€™t be used in many instances.",NEGATIVE
Most of the time app not working specially watery lane middle lane Birmingham station never worked.,NEGATIVE
"""Tried 5 times to use this app and each time it failed whilst at the pump!",NEGATIVE
,POSITIVE
"Who does your QA testing for you!!""",NEGATIVE
Doesnâ€™t work with my Amex deal. Error at the pumps,NEGATIVE
Great idea but obviously BPs infrastructure just doesnâ€™t work. Always get â€œsorry weâ€™re having technical problemsâ€� when you try to use the app at a filling station. Maybe they donâ€™t want to pay the Â£10 cash back offer on AMEX! ðŸ¤£,NEGATIVE
Great when it works when it doesnâ€™t it declines payment then the bank freezes the card until you confirm by text you made the transaction! Only worked 2 out of 7trys,NEGATIVE
Amex bought me here but the app doesnâ€™t work.,NEGATIVE
Finding this so handy when paying for my fuel. Useful that it times out automatically.,POSITIVE
Just started using this at our new BP garage in Taunton and itâ€™s amazing. So much easier than Pay At Pump even! Excellent idea.,POSITIVE
"""App easy to use and works well enough.",POSITIVE
"The only hiccup was that I selected to put Â£35 worth of fuel in, however, the pump then stopped at Â£33.70 (no, the tank was not full).""",NEGATIVE
Many issues including wrong amount of fuel delivered and the app failing after fuel delivery started resulting in having to pay in the shop anyway. As an Amex user this rather defeats the purpose as there was money back available if one used the app. I reported 2 separate issues over 2 weeks ago to BP customer services team and apart from an email acknowledgment I i have not heard a dickie bird since.,NEGATIVE
Horrible experience,NEGATIVE
"So easy to use and so much quicker to pay especially during rush hour, fill and go",POSITIVE
"Only works 50% of the time, the issue with this is it locks up Â£100 on your credit card ( each time you try) for days at a time if you have full tank selected. AMEX canâ€™t help clear it, needs BP to cancel it. Staff in 2 BP garages it hasnâ€™t worked for me at said itâ€™s rubbish and sometimes works but sometimes doesnâ€™t and there is nothing they can do. Staff also told me it wouldnâ€™t take an authorisation on the card but it defo does.",NEGATIVE
"""Was lured in to use the app by the AMEX spend Â£30 to get Â£10.  First two stations I stopped at didnâ€™t support mobile payments.  The third authorised the pump (IPhone 7 4G connection) then failed half way through.   Luckily I checked before driving off.",NEGATIVE
,POSITIVE
Had to pay at the till and the attendant advised me they are having nothing but trouble with people using the app.,NEGATIVE
,POSITIVE
"BP why are you using us as beta testers?  Get it sorted before releasing.  Esso and Shellâ€™s apps work flawlessly.  Iâ€™ve probably spent Â£10 going out my way to find a BP garage that works with the app!!!!""",NEGATIVE
I was about to activate this app reading reviews helped me no to trust this no app,NEGATIVE
Wonâ€™t load offers at all so annoying even after recent update,NEGATIVE
"Doesnâ€™t work, save yourself the hassle",NEGATIVE
Doesnâ€™t work with Santander Credit Cards Iâ€™ve tried several times,NEGATIVE
Iâ€™ve used the app a few times using a couple of bank cards. Both initially declined the prepayment despite me having plenty of funds available. I then get a message asking whether it was a genuine transaction but by then Iâ€™ve paid the old way! I appreciate this is banks being over protective but whatâ€™s the point of them allowing me to put the card in to the app if I canâ€™t use it? Could the app please contact the bank at the time I add a card and pre authorise payments?,NEGATIVE
"Tried it once and got the the ""oops, something went wrong"" message. Now there is no apparent way to delete my account and card details.",NEGATIVE
Doesnâ€™t work. Why release such an inadequate app?!,NEGATIVE
Log in and it goes back to main screen. Deleted and tried again and does the same thing. Rubbish,NEGATIVE
"""Tried to use the app, had a repeated error message saying there was an error authorising payment and to try again. Eventually paid in the garage but got home to find I had 5 x Â£100 transactions pending on my credit card. ",NEGATIVE
"Not a robust enough development to be taking payment through.""",NEGATIVE
Sat for ten minutes at the petrol station trying to get the app to work. Gave up when I saw the staff looking at me suspiciously.,NEGATIVE
"Was excited, as much as I could be about paying for fuel, to try this app. Waste of time setting this up at a station if there is no Wifi or mobile data. Tried on two separate occasions without success at Lenham SF connect station ( using O2 ).",NEGATIVE
"Iâ€™m thoroughly disappointed with this app. Iâ€™ve tried to use it three times, each time with no luck. The first location didnâ€™t accept the app, the second location wouldnâ€™t allow me to select a pump and the third location allowed me to select a pump but then errored out after Iâ€™d finished fuelling, but not before putting a Â£99 authorisation on my card. This also means Iâ€™ll miss out on the Â£10 cash back offer from Amex. Iâ€™ll be writing to BP in order to complain about their shoddy app and asking for Â£10 to compensate me for the missed Amex cashback.",NEGATIVE
"""Unable to take advantage of the Amex offer as local BP garage system not working correctly at the time of my filling my car with fuel",NEGATIVE
,POSITIVE
"Very disappointing""",NEGATIVE
"This app is a great idea, but is not yet production ready. On first use all seemed well; station and pump selected, pump authorised and a Â£100 pre-auth to my account. When I get back into my car there is a message saying the app has been interrupted and I should pay at the cash desk. Another Â£50 charged to my card. I know the pre-auth will lapse, but having 150% of the transaction blocked on my card is not good. The forecourt attendant told me he had seen this same problem three times in the same day, one resulting in a motorist driving away without settling up for his fuel. Needs a bit more testing, I think.",NEGATIVE
Love it!! So easy!!,POSITIVE
"""Had no response or contact from anyone regarding fraudulent use at a petrol station, one guy tried to actually blame me",NEGATIVE
Number of calls and emails but despite promises of contact nothing heard ,NEGATIVE
"I would advise everyone to be careful when using the app""",NEGATIVE
"Went to two different stations one didnâ€™t accept all, the other said it did but wouldnâ€™t go through. Took me 2 weeks to get my amex card added and when i tried to use to get my Â£10 cashback offer I couldnâ€™t. Donâ€™t launch a product that isnâ€™t fit for purpose. Put me off the company altogether!!",NEGATIVE
"Tried to use 3 times, various issues. Cashier cancelling BPme orders and you donâ€™t realise cause your phone is in the car, get back in the car and thereâ€™s a â€œwe are sorry!â€� Message",NEGATIVE
The app is a joke; total waste of time. I drive to three stations claiming to support the app to redeem a Â£10 free fuel offer from Amex.   Advertised on forecourt they use the app and also within the app.  None of them worked.  The fourth station did work but they didn't sell the fuel I needed.   Waste of time and energy.  The shell app works perfectly Iâ€™d recommend  that over this any day.,NEGATIVE
"I had an offer from Amex if I installed and used the app using my Amex cars to pay. After installing the app, adding the payment card and adding my nectar card, it seemed there was not a way of redeeming a voucher for double nectar points that I also had. Nevertheless I visited a (fairly big)BP station only for the app to tell me the station did not support the app and to pay the cashier, despite it showing on the map as a nearby station. All in all a waste of my time and now to be uninstalled.",NEGATIVE
Disappointed as app did not find station,NEGATIVE
"""got this after an amex cashback offer. first off the app would not take a 4 digit amex code. Then the system failed with no communication to the first garage on first attempt. went out of my way to try the app again at another garage and the system reserved Â£100 of fuel then failed to dispense the diesel. Chap in pay booth waving arms at me as if to",NEGATIVE
"say the whole thing not working for them even though they are on the app! useless will be deleting the app and asking BP to remove me.""",NEGATIVE
"""This app seems ill conceived if itâ€™s meant to ease buying fuel! Having used the same service station for a number of years fuelling 3 vehicles a week averaging about 6k GBP per year the app has single handedly lost BP (and the station) the business! Whilst sitting next to the pump the app. was unable to find the station...eventually having been tannoyed by the attendant for stepping outside the car with my phone (not allowed on the forecourt...why? Iâ€™ve yet to have that explained convincingly!!) I get the app to acknowledge my being in proximity to a BP station. I go for the â€˜full tankâ€™ option which I guess is the same as any pay at pump operation which validates my funds availability. It all starts then the bank intervenes questioning the transaction...this effectively halts the process But leaves me unsure of the transaction status...At this point I leave as I canâ€™t be bothered and buy fuel at another (non BP) station with pay at the pump facility.",NEGATIVE
Analysing the whole thing I fail to see any advantage in this particular app. It seems  fatally flawed exercise!,NEGATIVE
"Looking at the number of people reviewing with the Â£100 long term reservation problem, coupled with BP dropping Nectar (another reason I go to that particular station) I am better off with the other fuelling apps. that donâ€™t lock up my money for an indeterminate time and work by using existing payment systems.""",NEGATIVE
"The app does all the things it promises, but on an iPhone X and a 38mbps 4G connection, payment still takes longer than entering the garage and paying by contactless, which almost renders it pointless.",NEGATIVE
Do not waste your time as it does not work. BP must not care enough about their customers to release an app after theyâ€™re actually ironed out the kinks. Tried it at three places wonâ€™t work at any. Worked once last weekend but cut out Â£1 early. Utterly useless.,NEGATIVE
Much easier especially if you have children in the car as you donâ€™t have to get them out to go and pay. also good if you are in a hurry and donâ€™t want to stand in a long queue,POSITIVE
"""I was at Frontier park services station.",POSITIVE
The app was unable to locate the station properly.,NEGATIVE
I tried to select it manually but unsuccessful.,NEGATIVE
I still have to walk in to pay.,NEGATIVE
"Pointless app.""",NEGATIVE
"""Tried to use this on 3 separate occasions over the space of a week in December and kept getting a message....â€�sorry, weâ€™re having some technical issuesâ€�",NEGATIVE
,POSITIVE
"Now deleted.""",NEGATIVE
"""I used the app twice; first time setting up for Â£30 fuel but the fuel cutting off at Â£29.50 at the pump, then at a different station I set the app up for Â£31 fuel but it cut off at Â£29.47. (The tank did was not full for fuel to stop on either occasions). I have 2 transactions on my card for a single purchase (4 in total for both occasions) and Iâ€™m still waiting to see which will be the final transaction and worst if I will be charged twice!",NEGATIVE
,POSITIVE
"Also, the cut off meant that I could not redeem a special offer for spending Â£30 on fuel through my Amex. Due to these bad experiences, I myself will not use it again and would not recommend it anyone as it appears misleading and the incentive mysteriously could not be redeemed at conspicuous amounts.""",NEGATIVE
"What a load of rubbish, donâ€™t waste your time",NEGATIVE
"A bit random on when works and can spend 2-3 minutes waiting for it to unlock pump sometimes. Having said that when the system is working, it works very well",POSITIVE
"""Works well but sometimes it can't open the pump and sometimes takes a while to register.",POSITIVE
,POSITIVE
"Only a touch quicker than going in to pay but more convenient.""",POSITIVE
"""First time I used it the pump stopped short of the amount I needed to hit I order to qualify for a promotion!",NEGATIVE
,POSITIVE
Second I tried to use it .... was at the pump for a good 10minutes trying to log in then it say it could not unlock the pump! - but the payment went through 3 times on my credit card!,NEGATIVE
,POSITIVE
"I wonâ€™t be using this again.""",NEGATIVE
"This app has worked once in the last 2 months, friends also say the same so it canâ€™t be my phone or station that I use. Can you offer any solutions?",NEGATIVE
"""So convenient and easy to use!",POSITIVE
Make sure you set up from home before using for the first time. It verifies your card details so takes a while the first time.,POSITIVE
"Amazing if you got kids, are in a rush or just lazy!""",POSITIVE
"I set up an account & tried to use the app but it didnâ€™t work, not even once! Rubbish!",NEGATIVE
"""Tried to use this numerous times but only managed to get it to work once!",NEGATIVE
The fuel station people tell me they keep reporting problems with it but it still doesnâ€™t get fixed.,NEGATIVE
"So far itâ€™s been a waste of time .""",NEGATIVE
"""This app is one of the worst Iâ€™ve used. The entire concept is flawed. I mean I really need to spend more time in my car before putting in petrol because you â€˜canâ€™tâ€™ use your mobile phone on the court. ",NEGATIVE
"Bring back first world system like in Cyprus and Iceland where you simply put your card in to a central payment machine, say how much you want, put in and drive off. ",POSITIVE
"Always looking for another way to track, trace and market to a big brother society.""",NEGATIVE
"""Had been hesitant to use this app which Iâ€™d downloaded a couple of months ago. Registered my payment card on the app whilst in the car wash and decided to give it a go. Really easy to understand and use. Extremely convenient and will much prefer this to queuing in petrol stations.",POSITIVE
,POSITIVE
"Will update this if thereâ€™s anything else to add to it - if I donâ€™t update review then you can assume that itâ€™s all 5 â­�ï¸� good!""",POSITIVE
Itâ€™s a such a convenient app only downside is my offers for my nectar card never load I canâ€™t seem to see them Iâ€™ve deleted and reinstalled the app but it never seems to work can you please get this issue fixed,NEGATIVE
I really loved this app until it stopped working.  Every time I try to log in it flashes â€˜oops errorâ€™.  Iâ€™ve tried to re load app and re register but still get the same response.  Any help welcomed.,NEGATIVE
Game changer. Works every time so far without fail and stops me buying crap in the shop! Good on my pocket and my belly!,POSITIVE
"""Tried to use this app four times each time app starts to work them times out. I had a strong 4g signal in each case. On one occasion app suggested payment was successful. I checked with the pump attendant who explained the app was rubbish and my payment had not registered. So if I had driven off I would have been classed as a drive away my details would have been passed to the Police!",NEGATIVE
The other issue is that this app could encourage someone to use their phone on a petrol station forecourt which is a complete no go due to the well publicised explosion risk. There are clear instructions on the app but how many people read and head instructions? I checked my linked credit card and it had a total of Â£400 pre authorised for each of my four tries. ,NEGATIVE
"So as far as I am concerned this app is a big mistake by BP why not just use a pay at pump system like every other modern petrol retailer it is much safer and in my experience reliable. By the way I am not a technophobe I love technology when it works. If there was a zero star I would have selected this. The app is very slick looking and clearly a lot of thought has gone into the concept but so far it looks like style over substance. Hope this helps the folk at BP.""",NEGATIVE
"Used it on three different occasions, each time it recognised the filling station and I selected the pump number.  Please fill up and leave phone in car it said.  Twice after I had filled and got back in the car it told me there was a problem and need to go into shop to pay.   Removed from my phone,a good idea but wonâ€™t use BP again.",NEGATIVE
"""There is obviously a problem with this app at the moment. Read the numerous 1 star reviews around this time (January 2019). ",NEGATIVE
"I gave this 1 star a few weeks ago, when the average rating was 4.3. Now after numerous other 1 star ratings, the average is...",NEGATIVE
4.3!,POSITIVE
"Shouldnâ€™t that have dropped down a bit by now?""",NEGATIVE
"""Great app and so much easier to pay for fuel. ",POSITIVE
"More BP petrol stations need to have this option""",POSITIVE
"Handy, quick and easy to use.",POSITIVE
Works great and thereâ€™s no need to queue up just to pay for fuel. Enjoying it!!!,POSITIVE
"I am at the station, next to the pump and the app doesnâ€™t find the station! Why is there No option to manually choose the station, even if itâ€™s just closest to your current location?",NEGATIVE
App is not stable. When it works it is ok. It has worked 50% of the time for me.,NEGATIVE
"A real hassle to set up. At least it could support Apple Pay to make it a bit easier, but it currently does not.",NEGATIVE
This app can hardly ever find the petrol station even when you are there!!! Useless!!!!,NEGATIVE
"""Having tried paying three times using this app failed all three. ",NEGATIVE
"Dismal failure.""",NEGATIVE
Excellent option to be utilised,POSITIVE
"Having used this app once by just entering my pin, the next time I tried to use it, I was asked to log on with a password. As I had forgotten my password I tried to reset, by giving my email address and phone no. Unfortunately, the country code for the phone no. Input defaults to +91 and there was no option to get it changed to +44 for U.K. so I canâ€™t receive any instructions to change my password. So gave up using the app. App sounds a good idea but itâ€™s execution is appalling.",NEGATIVE
Sometimes it works and itâ€™s ok but more often than not it doesnâ€™t. Keeps asking me to login and when I try it timeouts. Very very frustrating. I have now removed the app and the frustration. BREATH!!,NEGATIVE
"""It debits your account with Â£100 and then sorts out the exact amount days later. ",POSITIVE
,POSITIVE
"Complete rip off.""",NEGATIVE
App said fuel up. Drove off. Had to return to pay cash as transaction failed. Complete waste of time.,NEGATIVE
"Fast, efficient- what is not to like",POSITIVE
Outstanding performance myself totally happy with this great service and again many thanks to you BPme you great forever.,POSITIVE
App for CarPlay needed,POSITIVE
"""Used the app to pay as I have done many a time. App confirmed all paid, as did my credit card. ",POSITIVE
,POSITIVE
"App had a communication failure with the station meaning the station thought I had not paid and drove off! Instead of BP using any one of my contact details which they hold (address, phone number or email) they decided to go straight for the jugular and send the police to my house who proceed to call me a thief in front of my young children.  ",NEGATIVE
,POSITIVE
"1 month later and not a word of an apology from BP. Atrocious.""",NEGATIVE
Efficient reliable app. Great way to be quick at the petrol station,POSITIVE
"Downloaded app, set up account, went to bp garage, app kept throwing errors so I just paid the old fashioned way which was much quicker, absolutely pointless!!",NEGATIVE
"""Iâ€™ve used this app for a while and itâ€™s actually very good but today I discovered an issue.",NEGATIVE
,POSITIVE
I thought Iâ€™d scrolled the wheel to pump 2 but fat fingers still hit 1 so it unlocked pump 1.,NEGATIVE
,POSITIVE
Staff useless and couldnâ€™t help as they didnâ€™t have a process for this so I ended up paying for someone elseâ€™s fuel.,NEGATIVE
,POSITIVE
There is a cancel button but it doesnâ€™t highlight and no other way to stop.  I tried to cancel within 5 seconds of it saying pump unlocked!!!,NEGATIVE
,POSITIVE
Ended up having to agree with other customer that Iâ€™ve paid for his and he should pay for mine.,NEGATIVE
,POSITIVE
"Disappointing as have really enjoyed this app but beware as you may not have such an accommodating other customer!""",NEGATIVE
"""My local BP station, the app never works so I go to Sainsburyâ€™s.",NEGATIVE
"Other station the app wonâ€™t work, fuelled at 5 BP stations in Staffordshire and Cheshire the app worked once only.",NEGATIVE
"Donâ€™t waist your time at BP they are to expensive and making 1bn profit from YOU.""",NEGATIVE
"""Never need a bank card or cash to fill up .",POSITIVE
"Be lots better when all stations have this facility""",POSITIVE
"Generally happy with the app in that itâ€™s always worked well for me. However, it would be good if the pump number selection had a more positive feel to it as I very nearly selected the wrong number on my latest visit.",POSITIVE
Tried it today. What a pain. After putting all the info in it kept freezing on the page where my credit card required a passcode. I kept putting the passcode in but nothing would happen and no option to move forward. Just the option to cancel!,NEGATIVE
"This is my second review of this app. It now doesnâ€™t work on any of my credit cards. By the time youâ€™ve finished trying to get it to work, you may as well have just gone in and paid normally!!",NEGATIVE
Have used 2 times so far itâ€™s ok.,NEGATIVE
"""Downloaded app.",POSITIVE
Registered.,POSITIVE
Tried to add All Star fuel card as payment method.,NEGATIVE
Realised I couldnâ€™t.,NEGATIVE
"Deleted app.""",NEGATIVE
"""Whenever I tried to use this app it didnâ€™t function.",NEGATIVE
"Either get an error message, unable to find a pump or crashing after closing a pump and unable to get fuel as after retrying the payment card gets blocked.",NEGATIVE
"Absolute joke and not worth downloading. Worst payment app I have used so far I am sad to say""",NEGATIVE
"""Tried hard to use this app. Tried twice.",NEGATIVE
Both time unsuccessful.,NEGATIVE
,POSITIVE
"First time turned up at the Petrol station, put fuel in the carâ€™s tank, went to cashier and presented the app to pay. I was wrong!",NEGATIVE
It doesnâ€™t work that way. Had to pay cash to the cashier.,NEGATIVE
,POSITIVE
"Second time, came the the BP station. Went to the app and chose the pump. Selected full tank. The app tried to lock Â£100 on my card and failed with no reason. Tried a few more time. Got my card blocked by the bank. Called the bank and unblocked the card. Was told to relink the card to the app. Tried that, but the app failed to add my card now.",NEGATIVE
,POSITIVE
Deleted and reinstalled the app. Tried again â€“ no luck.,NEGATIVE
,POSITIVE
What a terrible app. 25 minutes of my life wasted for nothing.,NEGATIVE
,POSITIVE
"Avoid!""",NEGATIVE
If you want to cut up to 5 mins of your time to refuel then this is your answer,NEGATIVE
"""Terrible concept. Freeze Â£100 from your account, get charged how much you fill up as well! Wait 2 weeks for the frozen Â£100 to be available in your account again! ",NEGATIVE
Why pay once when you can pay double! ,NEGATIVE
This is not technology moving us forward!,NEGATIVE
,POSITIVE
"EDIT: Thanks for the developer response. I am well aware of how the app works! That is why Iâ€™m never using it again and telling everyone else not to use it! I also know I can select lower amounts but when my car takes Â£80+ I donâ€™t see the point of putting Â£20 in! Your response hasnâ€™t told me anything new or apologised for the lack of clarity in your description of how much money will be held for how long. Stay away from this if you donâ€™t have limitless funds.""",NEGATIVE
"Has trouble finding any BP station, managed to get it to find my local one once and when it does it comes up with an error when you try to select pump. Very disappointing that you would release an app that is useless",NEGATIVE
Absolutely brilliant. Why waste time and stand in lines of 10 people.,POSITIVE
"Easy,fast not need to pay inside the shop",POSITIVE
Almost every time I choose to buy Â£20 of fuel and get Â£19.50 worth of fuel which I thought is not an issue when Iâ€™ve realised today that even tho the app is saying Iâ€™ve payed Â£19.50 I have actually payed Â£20 according to my bank statement. Where is going 50p every time Iâ€™m buying fuel? Its a small amount but I had to work for every penny Iâ€™ve got. Iâ€™m not going to use app anymore and to be honest Iâ€™ll be filling somewhere else from now on.,NEGATIVE
"""Step 1 Register",POSITIVE
Step 2 log in,POSITIVE
Step 3 *an account with this email address already exists*,NEGATIVE
Step 4 repeat step 2 (I must have clicked the wrong button),NEGATIVE
Step 5 (double check I am clicking log in) log in,POSITIVE
Step 6 *an account with this email address already exists*,NEGATIVE
Step 7 delete app,NEGATIVE
"Step 8 use Tesco petrol station, working app, cheaper fuel & worthwhile loyalty club""",POSITIVE
"""As already mentioned by other users. This app has issues with my bank. On two separate occasions my bank thought i was being conned and froze my account. ",NEGATIVE
"Lovely idea but needs more work""",NEGATIVE
One thing I hate is when you want to just fuel and go but have to wait ages in line while people do their weekly shopping at the station. This app works great just select pump how much you averagely want to spend and fill the car up. Simple as that.,POSITIVE
"This app since being introduced, I have not been able to link my nectar card, persistently fails due to poor functionality of BP me app, this really needs to be addressed",NEGATIVE
"""After a few start up hiccups the app works so easily and means I donâ€™t have to wait in a long queue of people with shopping and ordering coffees etc. ",POSITIVE
"It would be even better if one could get a discount on petrol, as in the USA, where apps are paid for using a debit card number thus the Petrol company can pass on the savings of the credit card fee by offering slightly cheaper petrol.""",NEGATIVE
I love this app. Can just fill up and go. So convenient and time saving.,POSITIVE
"""I use BP to fill my two large vehicles with premium fuel spending approximately Â£5k per annum. I downloaded to App to speed up the refuelling time and to collate all the receipts for fuel in one place.  It worked well for about a month, but for the past 4-5 weeks it has been a total waste of time.",NEGATIVE
,POSITIVE
A) it takes forever for the App to launch B) it requests that I log in again ,NEGATIVE
C) it takes ages for the log in page to open,NEGATIVE
D) once I enter my details I have to wait again for the App to log me in,NEGATIVE
,POSITIVE
I have given feedback on this on maybe three occasions but have had no response from BP.,NEGATIVE
,POSITIVE
"This evening I relaunched the App before eventually getting to the page to log in.  I entered my details and waited for the App to log in. And waited. And waited.  Eventually I gave up, filled up, went into the shop, picked up some milk, queued, paid (in two transactions - fuel and milk) and returned to the car.  The App was still trying to log me in!!!!",NEGATIVE
,POSITIVE
I am now about to download the Shell App.,POSITIVE
,POSITIVE
"Iâ€™m my opinion, this app is a total waste of time!!!""",NEGATIVE
Excellent app makes me moist,POSITIVE
"I donâ€™t understand what all the fuss is about. I think itâ€™s brilliant. So easy to use and no more queuing at the tills. If it doesnâ€™t work, it has to be your signal.",POSITIVE
"Because the promotion, 250 nectar point if I pay by BP Me. After I chose the pump number, wait a while, it says you can fill up now. Before I filled up in full, the app say something wrong and asked me to pay inside the shop. I been the same BP twice in 2 weeks to try. But never success!!! So never earn 1 bonus point!!!",NEGATIVE
"""Good idea, poor execution. ",NEGATIVE
"Could not sign in or verify email.. donâ€™t waste your time or memory on device. Waste of energy donâ€™t download.""",NEGATIVE
"""I have used this in the past was great worked well now this past 2months almost it wonâ€™t work at all total utter waste of time.",NEGATIVE
,POSITIVE
"It keeps saying the same thing over and over weâ€™re having technical difficulties please pay in the shop for fuel. Iâ€™ve deleted the app and tried again on a few occasions but still the same going to delete it for good now and use something like Shell as this is garbage!!!!!""",NEGATIVE
Unfortunately this app sent you an email with the details.No .pdf or something that could be printed (I donâ€™t want to print my hole email inbox )And there is no print at pump..,NEGATIVE
"""Have nearly given up. Tried at 2 BP stations but app wouldnâ€™t recognise the pump. Ended up paying by card.",NEGATIVE
,POSITIVE
"Will be returning to the supermarket petrol station""",NEGATIVE
"""This app works really well for me, except in the occasional situation where the petrol station doesn't use it - one near me 'doesn't have enough Internet bandwidth', apparently... Why put all the signs on the forecourt if it's not available?",POSITIVE
"I'm mystified by why this app isn't integrated with Carplay yet - it should perfect fit, to pay for your fuel using the screen in your car target than having to dig your phone out from wherever you've stashed it. This app was announced as an upcoming arrival for Ford's Sync3 system in about Feb 2018, but it doesn't seem to have appeared...",NEGATIVE
"Come on BP, put it in Carplay!!""",POSITIVE
9 time out of 10 it doesnâ€™t work.  Useless. Deleted.,NEGATIVE
Easy to use. However the receipt sent by emails is 2 pages of A4 so if this could be cut down...?,POSITIVE
Just as the title says,POSITIVE
Was at my local BP. Started the process of picking my pump and the amount it then said my account had been declined. I check my account and it had already taken the money out. Terrible app wonâ€™t be using again.,NEGATIVE
"""Unfortunately the app is faulty a lot so you need to pay with alternative methods. ",NEGATIVE
"Itâ€™s best not to rely on the app as your only means of payment.""",NEGATIVE
Every single time I tried to use this app to fill up my car using the fill tank option it has failed. I get as far as â€œthe pump is unlockedâ€� then an error screen saying something went wrong. Fortunately I spotted this before driving away the first time and kept an eye on the phone every other time. On each occasion I have gone into the shop to pay the cashier has told me not to bother with the app as it doesnâ€™t work!  Now I understand that BP is stopping Nectar points so I probably will be deleting the app and going to the nearby texaco which is cheaper.,NEGATIVE
"""Lured in by an Amex Â£10 offer. App had a random failure mid fill and told me to pay at the attendant. Attendant said they're still testing and was sorry. ",NEGATIVE
,POSITIVE
Yeah right. So I'm a beta tester and you trick me with a discount I can't get. Utterly unimpressed. I'm considering getting Amex to pull its offer as it's basically fraud. I was made to give BP money under false pretences. ,NEGATIVE
,POSITIVE
"I can buy fuel cheaper elsewhere and so all you're offering is convince with an app that doesn't work, so it's not. I would pay more to avoid queuing, but this app can't be trusted to give any benefits. ",NEGATIVE
,POSITIVE
I'd avoid it as it's an empty promise.,NEGATIVE
,POSITIVE
---,NEGATIVE
,POSITIVE
Update: tried three times to fill at BP. Tried different limits on the fill in the app. Every single one failed and the Amex offer won't pay out. So as far as I'm concerned it's all a total con and a waste of time. Uninstalled.,NEGATIVE
,POSITIVE
---,NEGATIVE
,POSITIVE
"Months later app developers respond with a """"contact support and they'll look into it"""". Err no. You've already wasted my time on multiple occasions and as a software developer I know how to use a phone app. Your backend wasn't working at my regular BP and it's not my job to fix your problems. Your data log is only going to show things I can't fix anyway.",NEGATIVE
,POSITIVE
"Don't lure people to test your system on an Amex offer and then expect anything less when it doesn't pay out.""",NEGATIVE
"""Works well for me, (iPhone SE iOS 12.1.4) apart from one occasion where it failed and I had to pay at the counter.",POSITIVE
,POSITIVE
Feature Request:,POSITIVE
"I would rate it even higher if the app could be used to buy a car wash code instead of having to queue in the shop.""",POSITIVE
When the app works itâ€™s great but there seems to be a bit of miss trust from my bank for this app because it has blocked my card 3 times in a row when Iâ€™ve gone to use it and then I have to contact the bank to unlock my card. So not only does the app not allow you to pay for your fuel it also blocks your card so you canâ€™t use that to pay either.,NEGATIVE
"The pump always stops 50p short of the amount chosen. In a digital world, surely the pump could be configured to fill to the exact value.",NEGATIVE
"""Worst app of 2019 ",NEGATIVE
"What a complete junk""",NEGATIVE
"""The app does what it says and payments are easy but take care when using the full tank option.",POSITIVE
,POSITIVE
Your card / account will be pre charged with Â£100 and it can take 48 hours (or longer if a weekend) for the funds to be released back for you to use - longer than other pay at pump services where it is the same day even an hour after the transaction. Could catch some people out expecting money to be in the account,NEGATIVE
,POSITIVE
**UPDATE**,NEGATIVE
,POSITIVE
"Thought Iâ€™d give this another go to see if BP had improved things...and no. The good news is I didnâ€™t have to wait for my money to be returned but that was because it didnâ€™t take any. The app managed to get my bank card blocked for fraudulent activity! Not worth the hassle and recommend everyone doing what we have always done, go inside and interact with human beings and not machines",NEGATIVE
,POSITIVE
"And why is the Age Rating 4+ when you have to be over 16 to purchase fuel?""",NEGATIVE
"""Time after time, I try and use this app at BP stations and it comes up with technical error or some other nonsense. Itâ€™s got to the point where I avoid BP!",NEGATIVE
"Shell donâ€™t seem to have this problem....""",NEGATIVE
"It just never works, I always end up going in to pay for fuel. Get as far as confirming amount then tries to load and gets stuck on that screen fill it decides itâ€™s had enough and asks you to re-try. Staff never seem to care each time I tell them.",NEGATIVE
"""I fill up twice a week and if Iâ€™m near a BP Iâ€™d try and use this app. After the third time of my bank card being frozen by my bank because of the Â£100 hold BP put on Iâ€™m stopping because itâ€™s caused all kinds of problems. Not realising my cards frozen until paying for something else itâ€™s caused issues with my work expenses, my travel for work and just all round stress. ",NEGATIVE
,POSITIVE
"Just seen some other reviews saying to select a fuel amount rather than â€œfull tankâ€� but Iâ€™m not sure I want to risk my card being frozen again.""",NEGATIVE
"""I got charged Â£90 and Â£70.",NEGATIVE
"Filled up once got charged twice still not resolved. 10am in the morning Dartford.""",NEGATIVE
Great idea and should work really well especially if you have kids in the car. But every time I use it it just declines and blocks my NatWest debit card. Extremely frustrating,NEGATIVE
Very good service,POSITIVE
"""Makes filling up a lot quicker. No need to queue up with people doing their weekly food shop!! ",POSITIVE
"The only downside is I never receive an emailed receipt after each transaction even though Iâ€™ve contacted customer services a few tines about it.""",POSITIVE
"""The app was working fine until the most recent update. It asks to confirm that you have read and understand the new Ts&Cs and privacy policy. Read them, ticked the boxes and it just continues to go back to the page as if you havenâ€™t already done so and will not allow you to continue on to use the app for its sole purpose........purchasing fuel ",NEGATIVE
